SoilTestPhosphorousKelownaRangeId,SoilTestPhosphorousRegionCode,PhosphorousCropGroupRegionCode,P2O5RecommendationKilogramPerHectare,StaticDataVersionId
2,2,5,140,7
2,1,4,140,7
2,1,3,120,7
2,1,5,170,7
2,1,2,100,7
2,1,6,0,7
2,3,4,130,7
2,1,1,0,7
10,3,2,20,7
10,3,1,15,7
10,1,6,0,7
10,1,1,0,7
10,1,3,20,7
10,1,4,30,7
10,2,4,40,7
10,1,2,15,7
10,2,1,15,7
2,3,1,80,7
10,2,3,30,7
10,2,5,50,7
10,2,6,0,7
10,1,5,40,7
10,3,6,0,7
10,3,5,50,7
10,3,3,30,7
10,3,4,40,7
10,2,2,20,7
3,3,2,80,7
3,3,3,90,7
3,1,2,80,7
11,3,1,10,7
11,3,6,0,7
11,3,5,30,7
11,3,4,25,7
11,3,3,20,7
11,3,2,15,7
11,1,6,0,7
11,2,4,25,7
11,1,4,20,7
11,1,5,25,7
11,2,1,10,7
11,2,6,0,7
11,2,3,20,7
12,2,1,0,7
12,2,4,0,7
12,3,6,0,7
11,2,2,15,7
12,1,2,0,7
11,2,5,30,7
11,1,2,10,7
3,2,2,80,7
3,2,1,70,7
3,1,6,0,7
3,1,5,144,7
3,3,5,120,7
3,1,4,120,7
3,1,1,0,7
11,1,3,15,7
3,3,4,120,7
3,2,3,90,7
3,2,5,120,7
3,3,1,70,7
3,2,6,0,7
3,2,4,120,7
3,3,6,0,7
11,1,1,0,7
3,1,3,100,7
4,3,3,80,7
12,1,4,0,7
4,3,4,100,7
5,1,6,0,7
5,1,5,80,7
5,1,4,80,7
5,1,3,60,7
5,1,2,40,7
5,1,1,0,7
5,2,1,50,7
5,2,3,70,7
5,3,6,0,7
6,1,3,60,7
6,1,2,30,7
6,1,1,0,7
6,1,4,60,7
6,3,5,80,7
6,3,6,0,7
6,1,5,60,7
6,1,6,0,7
6,2,1,40,7
6,2,2,50,7
6,3,3,60,7
6,3,4,80,7
6,3,2,50,7
6,2,4,80,7
6,3,1,40,7
6,2,5,80,7
6,2,6,0,7
4,3,6,0,7
5,2,2,60,7
5,3,5,90,7
6,2,3,60,7
5,3,4,90,7
4,3,2,70,7
5,3,3,70,7
4,1,2,60,7
4,2,3,80,7
4,2,4,100,7
8,3,2,30,7
8,3,4,60,7
8,3,3,40,7
8,3,5,60,7
8,3,6,0,7
8,3,1,20,7
8,1,5,40,7
8,2,2,30,7
8,1,6,0,7
8,1,4,30,7
5,2,5,90,7
8,2,1,20,7
5,2,4,90,7
5,2,6,0,7
5,3,1,50,7
8,2,5,60,7
5,3,2,60,7
8,1,2,15,7
8,2,4,60,7
8,2,3,40,7
8,1,1,0,7
8,1,3,20,7
8,2,6,0,7
9,3,4,40,8
9,2,5,50,8
12,3,4,0,8
9,2,4,40,8
9,3,5,50,8
9,3,1,15,8
9,3,6,0,8
12,2,3,0,8
9,2,6,0,8
12,3,3,0,8
12,3,2,0,8
12,3,1,0,8
12,2,6,0,8
12,2,5,0,8
9,1,6,0,8
9,3,2,20,8
9,1,1,0,8
4,2,2,70,8
9,1,4,30,8
4,1,1,0,8
12,2,2,0,8
4,2,5,100,8
4,3,3,80,8
4,3,4,100,8
4,3,6,0,8
4,3,2,70,8
9,2,3,30,8
4,1,2,60,8
4,2,4,100,8
9,1,2,15,8
9,1,3,20,8
9,2,2,20,8
9,2,1,15,8
9,3,3,30,8
9,1,5,40,8
4,2,3,80,8
12,1,5,0,8
11,1,4,20,8
12,1,3,0,8
11,2,5,30,8
11,1,2,10,8
11,1,3,15,8
11,1,1,0,8
3,3,2,80,8
3,3,3,90,8
3,1,2,80,8
3,2,2,80,8
3,2,1,70,8
3,1,6,0,8
3,1,5,144,8
3,3,5,120,8
3,1,4,120,8
3,1,1,0,8
4,3,1,60,8
11,2,2,15,8
11,2,3,20,8
11,2,6,0,8
11,2,1,10,8
12,1,1,0,8
12,3,5,0,8
12,2,1,0,8
12,2,4,0,8
12,3,6,0,8
12,1,2,0,8
12,1,4,0,8
12,1,6,0,8
11,3,1,10,8
11,3,5,30,8
11,3,4,25,8
11,3,3,20,8
11,3,2,15,8
11,1,6,0,8
11,2,4,25,8
11,1,5,25,8
11,3,6,0,8
4,1,3,80,8
6,1,5,60,8
4,1,5,100,8
6,1,1,0,8
6,1,4,60,8
6,3,5,80,8
6,3,6,0,8
3,3,4,120,8
6,1,6,0,8
6,2,1,40,8
6,2,2,50,8
6,3,3,60,8
6,3,4,80,8
6,3,2,50,8
6,2,4,80,8
6,3,1,40,8
6,2,5,80,8
6,2,6,0,8
6,1,2,30,8
6,1,3,60,8
7,3,1,30,8
7,1,4,40,8
7,1,5,50,8
7,3,4,70,8
7,1,1,0,8
7,1,2,20,8
7,3,5,70,8
7,3,6,0,8
7,3,2,40,8
6,2,3,60,8
7,3,3,50,8
7,2,1,30,8
7,2,6,0,8
7,2,5,70,8
7,2,3,50,8
7,2,4,70,8
7,2,2,40,8
7,1,6,0,8
7,1,3,30,8
5,1,6,0,8
5,1,5,80,8
5,1,4,80,8
8,3,1,20,8
8,1,5,40,8
8,2,2,30,8
8,1,6,0,8
8,1,4,30,8
8,2,1,20,8
8,2,5,60,8
8,3,6,0,8
8,1,2,15,8
8,2,3,40,8
8,1,1,0,8
8,1,3,20,8
8,2,6,0,8
4,3,5,100,8
4,2,1,60,8
4,1,6,0,8
8,2,4,60,8
4,1,4,100,8
8,3,5,60,8
8,3,4,60,8
5,1,3,60,8
5,1,2,40,8
5,1,1,0,8
5,2,1,50,8
5,2,3,70,8
5,3,6,0,8
5,2,2,60,8
8,3,3,40,8
5,3,5,90,8
5,3,3,70,8
5,2,5,90,8
5,2,4,90,8
5,2,6,0,8
5,3,1,50,8
5,3,2,60,8
8,3,2,30,8
5,3,4,90,8
3,2,3,90,8
4,2,6,0,8
3,3,1,70,8
1,2,5,160,8
1,1,5,200,8
1,1,4,170,8
1,1,1,0,8
1,2,4,140,8
1,2,3,120,8
1,2,2,100,8
1,2,1,80,8
1,1,6,0,8
10,3,2,20,8
10,3,1,15,8
10,1,6,0,8
10,1,1,0,8
10,1,3,20,8
10,1,4,30,8
10,2,4,40,8
10,1,2,15,8
10,2,1,15,8
10,2,5,50,8
10,2,6,0,8
10,1,5,40,8
10,3,6,0,8
10,3,5,50,8
10,3,3,30,8
10,3,4,40,8
10,2,2,20,8
3,2,5,120,8
1,3,3,120,8
1,1,3,140,8
10,2,3,30,8
1,3,6,0,8
3,2,6,0,8
1,1,2,120,8
3,2,4,120,8
3,3,6,0,8
3,1,3,100,8
2,2,3,100,8
2,3,2,90,8
2,2,6,0,8
2,2,4,130,8
2,3,5,140,8
2,3,6,0,8
2,2,1,80,8
2,2,2,90,8
2,3,3,100,8
2,1,4,140,8
1,3,5,160,8
2,2,5,140,8
1,3,2,100,8
1,2,6,0,8
1,3,1,80,8
2,3,1,80,8
1,3,4,140,8
2,3,4,130,8
2,1,6,0,8
2,1,2,100,8
2,1,5,170,8
2,1,3,120,8
2,1,1,0,8
12,3,1,0,9
12,2,6,0,9
4,1,3,80,9
12,2,2,0,9
12,3,2,0,9
12,2,5,0,9
12,3,3,0,9
4,1,5,100,9
12,3,4,0,9
4,2,6,0,9
4,1,4,100,9
4,1,6,0,9
4,2,1,60,9
4,3,5,100,9
12,1,5,0,9
12,2,3,0,9
12,1,3,0,9
3,1,1,0,9
12,3,5,0,9
3,3,4,120,9
4,3,1,60,9
3,1,4,120,9
3,1,5,144,9
3,1,6,0,9
3,2,1,70,9
3,2,2,80,9
12,1,1,0,9
3,1,2,80,9
3,3,2,80,9
12,1,6,0,9
12,1,4,0,9
12,1,2,0,9
12,3,6,0,9
12,2,4,0,9
12,2,1,0,9
3,3,3,90,9
4,2,3,80,9
8,2,3,40,9
4,1,2,60,9
8,1,6,0,9
8,2,2,30,9
8,1,5,40,9
8,3,1,20,9
5,3,4,90,9
5,3,2,60,9
5,3,1,50,9
5,2,6,0,9
5,2,4,90,9
5,2,5,90,9
5,3,3,70,9
5,3,5,90,9
5,2,2,60,9
5,3,6,0,9
3,2,3,90,9
8,1,4,30,9
8,2,1,20,9
8,2,5,60,9
8,3,6,0,9
4,3,2,70,9
4,3,6,0,9
4,3,4,100,9
4,3,3,80,9
4,2,5,100,9
4,1,1,0,9
4,2,2,70,9
4,2,4,100,9
8,3,2,30,9
8,3,4,60,9
8,3,5,60,9
8,2,4,60,9
8,2,6,0,9
8,1,3,20,9
8,1,1,0,9
8,1,2,15,9
8,3,3,40,9
3,3,1,70,9
10,1,5,40,9
3,2,6,0,9
10,3,4,40,9
10,3,3,30,9
10,3,5,50,9
10,3,6,0,9
5,2,3,70,9
10,2,6,0,9
10,2,5,50,9
10,2,1,15,9
10,1,2,15,9
10,2,4,40,9
10,1,4,30,9
10,1,3,20,9
10,1,1,0,9
10,1,6,0,9
10,3,1,15,9
10,2,2,20,9
10,2,3,30,9
11,1,4,20,9
11,2,5,30,9
11,3,6,0,9
11,1,5,25,9
11,2,4,25,9
11,1,6,0,9
11,3,2,15,9
11,3,3,20,9
11,3,4,25,9
10,3,2,20,9
11,3,5,30,9
11,2,1,10,9
11,2,6,0,9
11,2,3,20,9
11,2,2,15,9
11,1,1,0,9
11,1,3,15,9
11,1,2,10,9
11,3,1,10,9
1,3,4,140,9
1,3,1,80,9
1,2,6,0,9
2,3,4,130,9
2,3,1,80,9
2,2,5,140,9
2,1,4,140,9
2,3,3,100,9
2,2,2,90,9
2,2,1,80,9
2,1,6,0,9
2,3,6,0,9
2,2,4,130,9
2,2,6,0,9
2,3,2,90,9
2,2,3,100,9
3,1,3,100,9
3,3,6,0,9
3,2,4,120,9
2,3,5,140,9
3,2,5,120,9
2,1,2,100,9
2,1,3,120,9
1,3,2,100,9
1,3,5,160,9
1,1,2,120,9
1,3,6,0,9
1,1,3,140,9
1,3,3,120,9
1,1,6,0,9
2,1,5,170,9
1,2,1,80,9
1,2,3,120,9
1,2,4,140,9
1,1,1,0,9
1,1,4,170,9
1,1,5,200,9
1,2,5,160,9
2,1,1,0,9
1,2,2,100,9
5,2,1,50,9
3,3,5,120,9
5,1,2,40,9
9,3,2,20,9
9,1,6,0,9
9,2,6,0,9
9,3,6,0,9
9,3,1,15,9
9,3,5,50,9
9,2,4,40,9
9,2,5,50,9
9,3,4,40,9
7,1,3,30,9
7,1,6,0,9
7,2,2,40,9
7,2,4,70,9
7,2,3,50,9
7,2,5,70,9
7,2,6,0,9
7,2,1,30,9
7,3,3,50,9
7,3,6,0,9
7,3,5,70,9
7,1,2,20,9
7,1,1,0,9
7,3,4,70,9
7,1,5,50,9
7,1,4,40,9
7,3,1,30,9
5,1,1,0,9
9,1,1,0,9
9,1,4,30,9
7,3,2,40,9
9,1,2,15,9
5,1,3,60,9
9,2,3,30,9
5,1,4,80,9
5,1,5,80,9
5,1,6,0,9
6,2,3,60,9
6,1,2,30,9
6,2,6,0,9
6,2,5,80,9
6,3,1,40,9
6,2,4,80,9
6,3,2,50,9
6,3,4,80,9
6,1,3,60,9
6,2,2,50,9
9,2,2,20,9
6,3,3,60,9
9,1,3,20,9
9,2,1,15,9
9,3,3,30,9
6,1,5,60,9
9,1,5,40,9
6,1,4,60,9
6,3,5,80,9
6,3,6,0,9
6,1,6,0,9
6,2,1,40,9
6,1,1,0,9
4,1,6,0,10
4,2,1,60,10
3,3,1,70,10
4,3,1,60,10
4,1,4,100,10
4,3,5,100,10
4,2,6,0,10
3,2,6,0,10
4,1,3,80,10
3,3,5,120,10
3,2,5,120,10
3,2,4,120,10
3,3,6,0,10
3,1,3,100,10
4,2,3,80,10
4,1,5,100,10
4,1,2,60,10
5,3,6,0,10
4,3,6,0,10
5,2,3,70,10
3,2,3,90,10
5,2,2,60,10
5,3,3,70,10
5,2,5,90,10
5,2,4,90,10
5,2,6,0,10
4,3,2,70,10
5,3,1,50,10
5,3,4,90,10
4,2,4,100,10
4,2,2,70,10
4,1,1,0,10
4,2,5,100,10
4,3,3,80,10
4,3,4,100,10
5,3,2,60,10
3,3,3,90,10
2,2,4,130,10
3,1,2,80,10
2,1,4,140,10
2,2,5,140,10
2,3,1,80,10
2,3,4,130,10
1,2,2,100,10
1,2,5,160,10
1,1,5,200,10
1,1,4,170,10
1,1,1,0,10
1,2,4,140,10
1,2,3,120,10
1,2,1,80,10
1,1,6,0,10
1,3,3,120,10
5,2,1,50,10
2,3,3,100,10
2,2,2,90,10
2,2,1,80,10
2,1,6,0,10
3,2,2,80,10
3,2,1,70,10
3,1,6,0,10
3,1,5,144,10
3,1,4,120,10
3,3,4,120,10
3,1,1,0,10
3,3,2,80,10
2,1,1,0,10
2,1,3,120,10
2,1,2,100,10
2,3,5,140,10
2,2,3,100,10
2,3,2,90,10
2,2,6,0,10
2,3,6,0,10
2,1,5,170,10
5,1,2,40,10
7,1,2,20,10
5,1,3,60,10
7,1,4,40,10
7,1,5,50,10
7,3,4,70,10
7,1,1,0,10
1,1,3,140,10
7,3,5,70,10
7,3,6,0,10
7,3,3,50,10
7,2,1,30,10
7,2,6,0,10
7,2,5,70,10
7,2,3,50,10
7,2,4,70,10
7,2,2,40,10
7,1,6,0,10
7,3,1,30,10
7,3,2,40,10
8,2,3,40,10
8,1,6,0,10
8,3,3,40,10
8,1,2,15,10
8,1,1,0,10
8,1,3,20,10
8,2,6,0,10
8,2,4,60,10
8,3,5,60,10
7,1,3,30,10
8,3,4,60,10
8,3,6,0,10
8,2,5,60,10
8,2,1,20,10
8,1,4,30,10
8,3,1,20,10
8,1,5,40,10
8,2,2,30,10
8,3,2,30,10
9,1,5,40,10
9,3,3,30,10
9,2,1,15,10
6,1,4,60,10
6,1,5,60,10
6,3,3,60,10
6,2,2,50,10
6,1,3,60,10
6,3,4,80,10
6,3,2,50,10
6,3,5,80,10
6,2,4,80,10
6,2,5,80,10
6,2,6,0,10
6,1,2,30,10
6,2,3,60,10
5,1,6,0,10
5,1,5,80,10
5,1,4,80,10
6,3,1,40,10
5,1,1,0,10
6,3,6,0,10
6,2,1,40,10
9,1,3,20,10
9,2,2,20,10
9,2,3,30,10
9,1,2,15,10
9,1,4,30,10
9,1,1,0,10
9,3,4,40,10
6,1,6,0,10
9,2,5,50,10
9,3,5,50,10
9,3,1,15,10
9,3,6,0,10
9,2,6,0,10
9,1,6,0,10
9,3,2,20,10
6,1,1,0,10
9,2,4,40,10
1,3,6,0,10
5,3,5,90,10
1,3,5,160,10
12,2,3,0,10
12,1,5,0,10
12,3,4,0,10
12,3,3,0,10
12,2,5,0,10
12,3,2,0,10
12,2,2,0,10
12,2,6,0,10
12,3,1,0,10
11,3,1,10,10
11,1,2,10,10
11,1,3,15,10
11,1,1,0,10
11,2,2,15,10
11,2,3,20,10
11,2,6,0,10
11,2,1,10,10
11,3,5,30,10
11,3,3,20,10
11,3,2,15,10
11,1,6,0,10
11,2,4,25,10
11,1,5,25,10
11,3,6,0,10
11,2,5,30,10
11,1,4,20,10
1,1,2,120,10
12,1,3,0,10
12,3,5,0,10
11,3,4,25,10
12,1,6,0,10
1,3,2,100,10
12,1,1,0,10
1,2,6,0,10
1,3,1,80,10
1,3,4,140,10
10,3,2,20,10
10,2,2,20,10
10,3,1,15,10
10,1,6,0,10
10,1,1,0,10
10,1,3,20,10
10,1,4,30,10
10,2,4,40,10
10,2,3,30,10
10,2,1,15,10
12,1,2,0,10
10,1,2,15,10
12,1,4,0,10
12,3,6,0,10
12,2,4,0,10
10,1,5,40,10
12,2,1,0,10
10,3,3,30,10
10,3,5,50,10
10,3,6,0,10
10,2,6,0,10
10,2,5,50,10
10,3,4,40,10
7,1,5,50,12
7,1,6,0,12
6,2,6,0,12
7,2,2,40,12
7,1,4,40,12
7,2,1,30,12
7,1,3,30,12
6,3,1,40,12
7,1,1,0,12
6,3,6,0,12
6,3,5,80,12
6,3,4,80,12
6,3,3,60,12
6,3,2,50,12
7,2,3,50,12
7,1,2,20,12
7,2,4,70,12
8,2,4,60,12
7,2,6,0,12
8,2,5,60,12
6,2,5,80,12
8,2,3,40,12
8,2,1,20,12
8,1,6,0,12
8,1,5,40,12
8,1,4,30,12
7,2,5,70,12
8,1,3,20,12
8,1,1,0,12
7,3,6,0,12
7,3,5,70,12
7,3,4,70,12
7,3,3,50,12
7,3,2,40,12
7,3,1,30,12
8,1,2,15,12
6,2,4,80,12
5,2,4,90,12
6,2,2,50,12
5,1,4,80,12
5,1,3,60,12
5,1,2,40,12
5,1,1,0,12
4,3,6,0,12
4,3,5,100,12
4,3,4,100,12
4,3,3,80,12
4,3,2,70,12
4,3,1,60,12
4,2,6,0,12
4,2,5,100,12
4,2,4,100,12
4,2,3,80,12
8,2,6,0,12
5,1,5,80,12
5,1,6,0,12
5,2,1,50,12
5,2,2,60,12
6,2,1,40,12
6,1,6,0,12
6,1,5,60,12
6,1,4,60,12
6,1,3,60,12
6,1,2,30,12
6,1,1,0,12
6,2,3,60,12
5,3,6,0,12
5,3,4,90,12
5,3,3,70,12
5,3,2,60,12
5,3,1,50,12
5,2,6,0,12
5,2,5,90,12
5,2,3,70,12
5,3,5,90,12
8,3,1,20,12
11,2,6,0,12
8,3,3,40,12
11,3,4,25,12
11,3,3,20,12
11,3,2,15,12
11,3,1,10,12
4,2,2,70,12
11,2,5,30,12
11,2,4,25,12
11,2,3,20,12
11,2,2,15,12
11,2,1,10,12
11,1,6,0,12
11,1,5,25,12
11,1,4,20,12
11,1,3,15,12
11,1,2,10,12
11,3,5,30,12
11,3,6,0,12
12,1,1,0,12
12,1,2,0,12
12,3,6,0,12
12,3,5,0,12
12,3,4,0,12
12,3,3,0,12
12,3,2,0,12
12,3,1,0,12
12,2,6,0,12
11,1,1,0,12
12,2,5,0,12
12,2,3,0,12
12,2,2,0,12
12,2,1,0,12
12,1,6,0,12
12,1,5,0,12
12,1,4,0,12
12,1,3,0,12
12,2,4,0,12
10,3,6,0,12
10,3,5,50,12
10,3,4,40,12
9,3,1,15,12
9,2,6,0,12
9,2,5,50,12
9,2,4,40,12
9,2,3,30,12
9,2,2,20,12
9,2,1,15,12
9,3,2,20,12
9,1,6,0,12
9,1,4,30,12
9,1,3,20,12
9,1,2,15,12
9,1,1,0,12
8,3,6,0,12
8,3,5,60,12
8,3,4,60,12
9,1,5,40,12
8,3,2,30,12
9,3,3,30,12
9,3,5,50,12
10,3,3,30,12
10,3,2,20,12
10,3,1,15,12
10,2,6,0,12
10,2,5,50,12
10,2,4,40,12
10,2,3,30,12
9,3,4,40,12
10,2,2,20,12
10,1,6,0,12
10,1,5,40,12
10,1,4,30,12
10,1,3,20,12
10,1,2,15,12
10,1,1,0,12
9,3,6,0,12
10,2,1,15,12
4,2,1,60,12
8,2,2,30,12
4,1,5,100,12
2,2,3,100,12
2,2,2,90,12
2,2,1,80,12
2,1,6,0,12
2,1,5,170,12
2,1,4,140,12
2,1,3,120,12
2,1,2,100,12
2,1,1,0,12
1,3,6,0,12
1,3,5,160,12
1,3,4,140,12
1,3,3,120,12
1,3,2,100,12
1,3,1,80,12
1,2,6,0,12
1,2,5,160,12
1,2,4,140,12
1,2,2,100,12
1,2,1,80,12
1,1,6,0,12
1,1,5,200,12
1,1,4,170,12
1,1,3,140,12
1,1,2,120,12
1,1,1,0,12
4,1,6,0,12
2,2,4,130,12
2,2,5,140,12
1,2,3,120,12
2,3,1,80,12
4,1,4,100,12
2,2,6,0,12
4,1,3,80,12
4,1,2,60,12
4,1,1,0,12
3,3,6,0,12
3,3,4,120,12
3,3,3,90,12
3,3,2,80,12
3,3,1,70,12
3,2,6,0,12
3,2,5,120,12
3,2,4,120,12
3,3,5,120,12
3,2,2,80,12
2,3,3,100,12
3,2,3,90,12
2,3,2,90,12
2,3,4,130,12
2,3,5,140,12
3,1,1,0,12
2,3,6,0,12
3,1,3,100,12
3,1,4,120,12
3,1,5,144,12
3,1,6,0,12
3,2,1,70,12
3,1,2,80,12
1,1,1,0,13
1,1,2,120,13
1,1,3,140,13
1,1,4,170,13
1,1,5,200,13
1,1,6,0,13
1,2,1,80,13
1,2,2,100,13
1,2,3,120,13
1,2,4,140,13
1,2,5,160,13
1,2,6,0,13
1,3,1,80,13
1,3,2,100,13
1,3,3,120,13
1,3,4,140,13
1,3,5,160,13
1,3,6,0,13
2,1,1,0,13
2,1,2,100,13
2,1,3,120,13
2,1,4,140,13
2,1,5,170,13
2,1,6,0,13
2,2,1,80,13
2,2,2,90,13
2,2,3,100,13
2,2,4,130,13
2,2,5,140,13
2,2,6,0,13
2,3,1,80,13
2,3,2,90,13
2,3,3,100,13
2,3,4,130,13
2,3,5,140,13
2,3,6,0,13
3,1,1,0,13
3,1,2,80,13
3,1,3,100,13
3,1,4,120,13
3,1,5,144,13
3,1,6,0,13
3,2,1,70,13
3,2,2,80,13
3,2,3,90,13
3,2,4,120,13
3,2,5,120,13
3,2,6,0,13
3,3,1,70,13
3,3,2,80,13
3,3,3,90,13
3,3,4,120,13
3,3,5,120,13
3,3,6,0,13
4,1,1,0,13
4,1,2,60,13
4,1,3,80,13
4,1,4,100,13
4,1,5,100,13
4,1,6,0,13
4,2,1,60,13
4,2,2,70,13
4,2,3,80,13
4,2,4,100,13
4,2,5,100,13
4,2,6,0,13
4,3,1,60,13
4,3,2,70,13
4,3,3,80,13
4,3,4,100,13
4,3,5,100,13
4,3,6,0,13
5,1,1,0,13
5,1,2,40,13
5,1,3,60,13
5,1,4,80,13
5,1,5,80,13
5,1,6,0,13
5,2,1,50,13
5,2,2,60,13
5,2,3,70,13
5,2,4,90,13
5,2,5,90,13
5,2,6,0,13
5,3,1,50,13
5,3,2,60,13
5,3,3,70,13
5,3,4,90,13
5,3,5,90,13
5,3,6,0,13
6,1,1,0,13
6,1,2,30,13
6,1,3,60,13
6,1,4,60,13
6,1,5,60,13
6,1,6,0,13
6,2,1,40,13
6,2,2,50,13
6,2,3,60,13
6,2,4,80,13
6,2,5,80,13
6,2,6,0,13
6,3,1,40,13
6,3,2,50,13
6,3,3,60,13
6,3,4,80,13
6,3,5,80,13
6,3,6,0,13
7,1,1,0,13
7,1,2,20,13
7,1,3,30,13
7,1,4,40,13
7,1,5,50,13
7,1,6,0,13
7,2,1,30,13
7,2,2,40,13
7,2,3,50,13
7,2,4,70,13
7,2,5,70,13
7,2,6,0,13
7,3,1,30,13
7,3,2,40,13
7,3,3,50,13
7,3,4,70,13
7,3,5,70,13
7,3,6,0,13
8,1,1,0,13
8,1,2,15,13
8,1,3,20,13
8,1,4,30,13
8,1,5,40,13
8,1,6,0,13
8,2,1,20,13
8,2,2,30,13
8,2,3,40,13
8,2,4,60,13
8,2,5,60,13
8,2,6,0,13
8,3,1,20,13
8,3,2,30,13
8,3,3,40,13
8,3,4,60,13
8,3,5,60,13
8,3,6,0,13
9,1,1,0,13
9,1,2,15,13
9,1,3,20,13
9,1,4,30,13
9,1,5,40,13
9,1,6,0,13
9,2,1,15,13
9,2,2,20,13
9,2,3,30,13
9,2,4,40,13
9,2,5,50,13
9,2,6,0,13
9,3,1,15,13
9,3,2,20,13
9,3,3,30,13
9,3,4,40,13
9,3,5,50,13
9,3,6,0,13
10,1,1,0,13
10,1,2,15,13
10,1,3,20,13
10,1,4,30,13
10,1,5,40,13
10,1,6,0,13
10,2,1,15,13
10,2,2,20,13
10,2,3,30,13
10,2,4,40,13
10,2,5,50,13
10,2,6,0,13
10,3,1,15,13
10,3,2,20,13
10,3,3,30,13
10,3,4,40,13
10,3,5,50,13
10,3,6,0,13
11,1,1,0,13
11,1,2,10,13
11,1,3,15,13
11,1,4,20,13
11,1,5,25,13
11,1,6,0,13
11,2,1,10,13
11,2,2,15,13
11,2,3,20,13
11,2,4,25,13
11,2,5,30,13
11,2,6,0,13
11,3,1,10,13
11,3,2,15,13
11,3,3,20,13
11,3,4,25,13
11,3,5,30,13
11,3,6,0,13
12,1,1,0,13
12,1,2,0,13
12,1,3,0,13
12,1,4,0,13
12,1,5,0,13
12,1,6,0,13
12,2,1,0,13
12,2,2,0,13
12,2,3,0,13
12,2,4,0,13
12,2,5,0,13
12,2,6,0,13
12,3,1,0,13
12,3,2,0,13
12,3,3,0,13
12,3,4,0,13
12,3,5,0,13
12,3,6,0,13
1,1,1,0,14
1,1,2,120,14
1,1,3,140,14
1,1,4,170,14
1,1,5,200,14
1,1,6,0,14
1,2,1,80,14
1,2,2,100,14
1,2,3,120,14
1,2,4,140,14
1,2,5,160,14
1,2,6,0,14
1,3,1,80,14
1,3,2,100,14
1,3,3,120,14
1,3,4,140,14
1,3,5,160,14
1,3,6,0,14
2,1,1,0,14
2,1,2,100,14
2,1,3,120,14
2,1,4,140,14
2,1,5,170,14
2,1,6,0,14
2,2,1,80,14
2,2,2,90,14
2,2,3,100,14
2,2,4,130,14
2,2,5,140,14
2,2,6,0,14
2,3,1,80,14
2,3,2,90,14
2,3,3,100,14
2,3,4,130,14
2,3,5,140,14
2,3,6,0,14
3,1,1,0,14
3,1,2,80,14
3,1,3,100,14
3,1,4,120,14
3,1,5,144,14
3,1,6,0,14
3,2,1,70,14
3,2,2,80,14
3,2,3,90,14
3,2,4,120,14
3,2,5,120,14
3,2,6,0,14
3,3,1,70,14
3,3,2,80,14
3,3,3,90,14
3,3,4,120,14
3,3,5,120,14
3,3,6,0,14
4,1,1,0,14
4,1,2,60,14
4,1,3,80,14
4,1,4,100,14
4,1,5,100,14
4,1,6,0,14
4,2,1,60,14
4,2,2,70,14
4,2,3,80,14
4,2,4,100,14
4,2,5,100,14
4,2,6,0,14
4,3,1,60,14
4,3,2,70,14
4,3,3,80,14
4,3,4,100,14
4,3,5,100,14
4,3,6,0,14
5,1,1,0,14
5,1,2,40,14
5,1,3,60,14
5,1,4,80,14
5,1,5,80,14
5,1,6,0,14
5,2,1,50,14
5,2,2,60,14
5,2,3,70,14
5,2,4,90,14
5,2,5,90,14
5,2,6,0,14
5,3,1,50,14
5,3,2,60,14
5,3,3,70,14
5,3,4,90,14
5,3,5,90,14
5,3,6,0,14
6,1,1,0,14
6,1,2,30,14
6,1,3,60,14
6,1,4,60,14
6,1,5,60,14
6,1,6,0,14
6,2,1,40,14
6,2,2,50,14
6,2,3,60,14
6,2,4,80,14
6,2,5,80,14
6,2,6,0,14
6,3,1,40,14
6,3,2,50,14
6,3,3,60,14
6,3,4,80,14
6,3,5,80,14
6,3,6,0,14
7,1,1,0,14
7,1,2,20,14
7,1,3,30,14
7,1,4,40,14
7,1,5,50,14
7,1,6,0,14
7,2,1,30,14
7,2,2,40,14
7,2,3,50,14
7,2,4,70,14
7,2,5,70,14
7,2,6,0,14
7,3,1,30,14
7,3,2,40,14
7,3,3,50,14
7,3,4,70,14
7,3,5,70,14
7,3,6,0,14
8,1,1,0,14
8,1,2,15,14
8,1,3,20,14
8,1,4,30,14
8,1,5,40,14
8,1,6,0,14
8,2,1,20,14
8,2,2,30,14
8,2,3,40,14
8,2,4,60,14
8,2,5,60,14
8,2,6,0,14
8,3,1,20,14
8,3,2,30,14
8,3,3,40,14
8,3,4,60,14
8,3,5,60,14
8,3,6,0,14
9,1,1,0,14
9,1,2,15,14
9,1,3,20,14
9,1,4,30,14
9,1,5,40,14
9,1,6,0,14
9,2,1,15,14
9,2,2,20,14
9,2,3,30,14
9,2,4,40,14
9,2,5,50,14
9,2,6,0,14
9,3,1,15,14
9,3,2,20,14
9,3,3,30,14
9,3,4,40,14
9,3,5,50,14
9,3,6,0,14
10,1,1,0,14
10,1,2,15,14
10,1,3,20,14
10,1,4,30,14
10,1,5,40,14
10,1,6,0,14
10,2,1,15,14
10,2,2,20,14
10,2,3,30,14
10,2,4,40,14
10,2,5,50,14
10,2,6,0,14
10,3,1,15,14
10,3,2,20,14
10,3,3,30,14
10,3,4,40,14
10,3,5,50,14
10,3,6,0,14
11,1,1,0,14
11,1,2,10,14
